budget_pct,seed,leads_selected,total_value,total_cost
0.3,42,71,57742.59557966399,0.107
0.3,43,71,57742.59557966399,0.107
0.3,44,71,57742.59557966399,0.107
0.3,45,71,57742.59557966399,0.107
0.3,46,71,57742.59557966399,0.107
0.5,42,109,82452.3980398343,0.178
0.5,43,109,82462.82758585546,0.178
0.5,44,110,82435.39498230374,0.178
0.5,45,109,82455.57983062368,0.178
0.5,46,109,82423.07312246175,0.178
0.6,42,128,93174.31544837503,0.214
0.6,43,129,93303.60677862853,0.214
0.6,44,129,93274.20514647858,0.214
0.6,45,128,93257.84963546788,0.214
0.6,46,129,93162.32404375142,0.214
0.8,42,165,111345.68408907627,0.28500000000000003
0.8,43,164,110706.9559258172,0.28500000000000003
0.8,44,165,111099.653667478,0.28500000000000003
0.8,45,164,111082.13739655909,0.28400000000000003
0.8,46,165,111260.69464846617,0.28500000000000003
1.0,42,196,122982.34897412296,0.35000000000000003
1.0,43,194,122435.39642043685,0.34500000000000003
1.0,44,194,122882.54837506384,0.34900000000000003
1.0,45,195,122806.52395435677,0.34900000000000003
1.0,46,194,122320.22959386537,0.34600000000000003
