generation,best_fitness,avg_fitness
0,92583.93453268496,83142.72219469836
1,92583.93453268496,87526.7589836521
2,92583.93453268496,89139.4251379759
3,92583.93453268496,89177.71315050383
4,92583.93453268496,89708.90432372603
5,92583.93453268496,90045.0832701344
6,92583.93453268496,90084.74628941783
7,92992.38104297427,90167.88760243235
8,92992.38104297427,90210.6789170457
9,92992.38104297427,89816.77078408022
10,92992.38104297427,90236.3794258322
11,92992.38104297427,90006.46788008942
12,92992.38104297427,89711.98932672752
13,92992.38104297427,89604.4464685682
14,92992.38104297427,90096.3524888821
15,92992.38104297427,89916.10381506111
16,92992.38104297427,90283.091818772
17,92992.38104297427,90433.14422861006
18,92992.38104297427,90508.72918225532
19,92992.38104297427,90786.92517040425
20,93049.587244648,91181.85687274032
21,93049.587244648,91041.82782237913
22,93059.89808675362,90751.4904063275
23,93059.89808675362,90548.32365592556
24,93059.89808675362,90706.79923738344
25,93059.89808675362,90560.51351142122
26,93059.89808675362,90342.51824950807
27,93059.89808675362,90344.00863033133
28,93059.89808675362,90236.57300284591
29,93059.89808675362,90102.06808822928
30,93059.89808675362,90309.79707520269
31,93059.89808675362,90489.6089344586
32,93059.89808675362,90430.10019919269
33,93059.89808675362,90826.0385915744
34,93059.89808675362,90493.67751111522
35,93059.89808675362,90574.96336002619
36,93069.55666038208,90458.12393717472
37,93069.55666038208,90407.2231307783
38,93069.55666038208,90578.09299994445
39,93069.55666038208,89988.78710671769
40,93069.55666038208,90293.93993773646
41,93097.118403074,90645.3098960709
42,93097.118403074,90427.45796973485
43,93097.118403074,90335.78731130478
44,93156.78508497876,90342.04414448417
45,93156.78508497876,90798.04927855397
46,93156.78508497876,90509.1714742955
47,93156.78508497876,90651.67957760373
48,93156.78508497876,90424.74614229155
49,93156.78508497876,90131.97645647971
50,93156.78508497876,90018.4845686322
51,93156.78508497876,90202.19712632192
52,93156.78508497876,90544.66036577967
53,93156.78508497876,90717.76684341305
54,93156.78508497876,90335.01250504947
55,93174.31544837503,90180.8952218624
56,93174.31544837503,90406.73158936923
57,93174.31544837503,90737.86321931094
58,93174.31544837503,90834.41189208614
59,93174.31544837503,90774.21241958566
60,93174.31544837503,90655.35109793415
61,93174.31544837503,90238.74016555221
62,93174.31544837503,90192.1028816421
63,93174.31544837503,90882.06763927109
64,93174.31544837503,90825.49510313265
65,93174.31544837503,90156.48905834128
66,93174.31544837503,90449.73791265821
67,93174.31544837503,90370.82022413237
68,93174.31544837503,90411.7118314381
69,93174.31544837503,90279.60747908794
70,93174.31544837503,90033.03717178425
71,93174.31544837503,90243.4933259225
72,93174.31544837503,90009.81994211988
73,93174.31544837503,89857.42320608851
74,93174.31544837503,90080.61230400678
75,93174.31544837503,90086.5910360406
76,93174.31544837503,90276.36406442635
77,93174.31544837503,90613.56828276796
78,93174.31544837503,90657.49973120926
79,93174.31544837503,90666.50819643249
80,93174.31544837503,90467.00283117007
81,93174.31544837503,90382.5647012022
82,93174.31544837503,90109.27028120369
83,93174.31544837503,90223.42316001635
84,93174.31544837503,90226.34757563111
85,93174.31544837503,90519.80285264546
86,93174.31544837503,90591.41170172195
87,93174.31544837503,90688.22261362494
88,93174.31544837503,90339.63053788077
89,93174.31544837503,90402.51199768824
90,93174.31544837503,90621.55263242882
91,93174.31544837503,90569.61094958887
92,93174.31544837503,90320.1170878537
93,93174.31544837503,90411.64279863532
94,93174.31544837503,90459.36270410413
95,93174.31544837503,90354.87802907107
96,93174.31544837503,90356.07534988709
97,93174.31544837503,89965.11000757493
98,93174.31544837503,90323.7010993164
99,93174.31544837503,90357.61937051151
