pool_size,method,fitness,wall_time_s
50,greedy,21983.04187682828,1.5124998753890395e-05
50,ga,22299.966726594444,0.05124866601545364
50,dp,22299.966726594444,0.012215291993925348
100,greedy,47847.705869663536,2.316699828952551e-05
100,ga,47857.11154276097,0.09608633301104419
100,dp,47863.19428077417,0.0514744590036571
200,greedy,93303.60677862853,4.6792003558948636e-05
200,ga,93174.31544837503,0.17649208300281316
200,dp,93304.91857713055,0.21401175000937656
500,greedy,233548.35684622228,0.00011737499153241515
500,ga,232967.8814189785,0.4095358749909792
500,dp,233548.35684622228,1.358815459010657
